Author,Text
Ralph Waldo Emerson,How much of human life is lost in waiting.
Nir Eyal,How would the person I want to become spend their time?
Mike Crittenden,"If you’re overthinking, write. If you’re underthinking, read."
Confucius,"Isn't it a pleasure to study and practice what you have learned? Isn't it also great when friends visit from distant places? If people do not recognize me and it doesn't bother me, am I not a noble man?"
Baltasar Gracián,"Keep a Store of Sarcasms, and know how to use them. This is the point of greatest tact in human intercourse. Such sarcasms are often thrown out to test men’s moods, and by their means one often obtains the most subtle and penetrating touchstone of the heart. Other sarcasms are malicious, insolent, poisoned by envy or envenomed by passion, unexpected flashes which destroy at once all favour and esteem. Struck by the slightest word of this kind, many fall away from the closest intimacy with superiors or inferiors which could not be the slightest shaken by a whole conspiracy of popular insinuation or private malevolence. Other sarcasms, on the other hand, work favourably, confirming and assisting one’s reputation. But the greater the skill with which they are launched, the greater the caution with which they should be received and the foresight with which they should he foreseen. For here a knowledge of the evil is in itself a means of defence, and a shot foreseen always misses its mark.
"
Epictetus,"Keep death and exile before your eyes each day, along with everything that seems terrible— by doing so, you’ll never have a base thought nor will you have excessive desire."
Baltasar Gracián,"Keep Matters for a Time in Suspense. Admiration at their novelty heightens the value of your achievements, It is both useless and insipid to play with the cards on the table. If you do not declare yourself immediately, you arouse expectation, especially when the importance of your position makes you the object of general attention. Mix a little mystery with everything, and the very mystery arouses veneration. And when you explain, be not too explicit, just as you do not expose your inmost thoughts in ordinary intercourse. Cautious silence is the holy of holies of worldly wisdom. A resolution declared is never highly thought of; it only leaves room for criticism. And if it happens to fail, you are doubly unfortunate. Besides you imitate the Divine way when you cause men to wonder and watch."
Baltasar Gracián,"Know how to transplant Yourself. There are nations with whom one must cross their borders to make one's value felt, especially in great posts. Their native land is always a stepmother to great talents: envy flourishes there on its native soil, and they remember one's small beginnings rather than the greatness one has reached. A needle is appreciated that comes from one end of the world to the other, and a piece of painted glass might outvie the diamond in value if it comes from afar. Everything foreign is respected, partly because it comes from afar, partly because It is ready made and perfect. We have seen persons once the laughing-stock of their village and now the wonder of the whole world, honoured by their fellow-countrymen and by the foreigners [among whom they dwell]; by the latter because they come from afar, by the former because they are seen from afar. The statue on the altar is never reverenced by him who knew it as a trunk in the garden."
Baltasar Gracián,"Know how to Withdraw. If it is a great lesson in life to know how to deny, it is a still greater to know how to deny oneself as regards both affairs and persons. There are extraneous occupations which eat away precious time. To be occupied in what does not concern you is worse than doing nothing. It is not enough for a careful man not to interfere with others, he must see that they do not interfere with him. One is not obliged to belong so much to all as not to belong at all to oneself. So with friends, their help should not be abused or more demanded from them than they themselves will grant. All excess is a failing, but above all in personal intercourse. A wise moderation in this best preserves the goodwill and esteem of all, for by this means that precious boon of courtesy is not gradually worn away. Thus you preserve your genius free to select the elect, and never sin against the unwritten laws of good taste."
Baltasar Gracián,"Know your chief Fault. There lives none that has not in himself' a counterbalance to his most conspicuous merit: if this be nourished by desire it may grow to be a tyrant. Commence war against it, summoning prudence as your ally, and the first thing to do is the public manifesto, for an evil once known is soon conquered, especially when the one afflicted regards it in the same light as the onlookers. To be master of oneself one should know oneself. If the chief imperfection surrender, the rest will come to an end."
Baltasar Gracián,"Know your strongest Point your pre-eminent gift; cultivate that and you will assist the rest. Every one would have excelled in something if he had known his strong point. Notice in what quality you surpass, and take charge of that. In some judgment excels, in others valour. Most do violence to their natural aptitude, and thus attain superiority in nothing. Time disillusions us too late of what first flattered the passions."
Seneca,Let us prepare our minds as if we’d come to the very end of life. Let us postpone nothing. Let us balance life’s books each day. … The one who puts the finishing touches on their life each day is never short of time.
Baltasar Gracián,"Never complain. To complain always brings discredit. Better be a model of self-reliance opposed to the passion of others than an object of their compassion. For it opens the way for the hearer to what we are complaining of, and to disclose one insult forms an excuse for another. By complaining of past offences we give occasion for future ones, and in seeking aid or counsel we only obtain indifference or contempt. It is much more politic to praise one man's favours, so that others may feel obliged to follow suit. To recount the favours we owe the absent is to demand similar ones from the present, and thus we sell our credit with the one to the other. The shrewd will therefore never publish to the world his failures or his defects, but only those marks of consideration which serve to keep friendship alive and enmity silent."
Baltasar Gracián,"Never talk of Yourself. You must either praise yourself, which is vain, or blame yourself, which is little-minded:it ill beseems him that speaks, and ill pleases him that hears. And if you should avoid this in ordinary conversation, how much more in official matters, and above all, in public speaking, where every appearance of unwisdom really is unwise. The same want of tact lies in speaking of a man in his presence, owing to the danger of going to one of two extremes: flattery or censure."
Zeno,"No loss should be more regrettable to us than losing our time, for it’s irretrievable."
"Milton Friedman
","Only a crisis - actual or perceived - produces real change. When that crisis occurs, the actions that are taken depend on the ideas that are lying around. That, I believe, is our basic function: to develop alternatives to existing policies, to keep them alive and available until the politically impossible becomes the politically inevitable"
Baltasar Gracián,"Prize Intensity more than Extent. Excellence resides in quality not in quantity. The best is always few and rare: much lowers value. Even among men giants are commonly the real dwarfs. Some reckon books by the thickness, as if they were written to try the brawn more than the brain. Extent alone never rises above mediocrity: it is the misfortune of universal geniuses that in attempting to be at home everywhere, are so nowhere. Intensity gives eminence, and rises to the heroic in matters sublime."
Henry David Thoreau,"The cost of a thing is the amount of life which is required to be exchanged for it, immediately or in the long run."
Miguel Ruiz,"The Four Agreements
1. Be impeccable with your word.
2. Don’t take anything personally.
3. Don’t make assumptions.
4. Always do your best. "
Ralph Waldo Emerson,The only person you are destined to become is the person you decide to be.
Baltasar Gracián,"Do not show your wounded Finger, for everything will knock up against it; nor complain about it, for malice always aims where weakness can be injured. It is no use to be vexed: being the butt of the talk will only vex you the more. Ill-will searches for wounds to irritate, aims darts to try the temper, and tries a thousand ways to sting to the quick. The wise never own to being hit, or disclose any evil, whether personal or hereditary. For even Fate sometimes likes to wound us where we are most tender. It always mortifies wounded flesh. Never therefore disclose the source of mortification or of joy, if you wish the one to cease, the other to endure."
Baltasar Gracián,"Think with the Few and speak with the Many. By swimming against the stream it is impossible to remove error, easy to fall into danger; only a Socrates can undertake it. To dissent from others' views is regarded as an insult, because it is their condemnation. Disgust is doubled on account of the thing blamed and of the person who praised it. Truth is for the few, error is both common and vulgar. The wise man is not known by what he says on the house-tops, for there he speaks not with his own voice but with that of common folly, however much his inmost thoughts may gainsay it. The prudent avoid being contradicted as much as contradicting: though they have their censure ready they are not ready to publish it. Thought is free, force cannot and should not be used to it. The wise man therefore retires into silence, and if he allows himself to come out of it, he does so in the shade and before few and fit persons."
Viktor Frankl,"Ultimately, man should not ask what the meaning of his life is, but rather must recognize that it is he who is asked. In a word, each man is questioned by life; and he can only answer to life by answering for his own life; to life he can only respond by being responsible."
Baltasar Gracián,"Utilise Slips. That is how smart people get out of difficulties. They extricate themselves from the most intricate labyrinth by some witty application of a bright remark. They get out of a serious contention by an airy nothing or by raising a smile. Most of the great leaders are well grounded in this art. When you have to refuse, it is often the polite way to talk of something else. Sometimes it proves the highest understanding not to understand."
Baltasar Gracián,"Vary the Mode of Action; not always the same way, so as to distract attention, especially if there be a rival. Not always from first impulse; they will soon recognize the uniformity, and by anticipating, frustrate your designs. It is easy to kill a bird on the wing that flies straight: not so one that twists. Nor always act on second thoughts: they can discern the plan the second time. The enemy is on the watch, great skill is required to circumvent him. The gamester never plays the card the opponent expects, still less that which he wants."
Carl von Clausewitz,War is simply the expression of politics by other means.
Seneca,You may not sleep again.
Seneca,You may not wake up tomorrow.
Aristotle,"You will never do anything in this world without courage. It is the greatest quality of the mind next to honour.
"
James Clear,"Your actions are a consequence of your thoughts, thoughts are a consequence of what you consume. What you consume is largely a consequence of how you select and refine your social media feed. Better inputs means better outputs"
Ernst Jünger,"Death for a conviction is the highest accomplishment. It is proclamation, deed, fulfilment, faith, love, hope and goal; it is, in this imperfect world, a perfect thing, absolute perfection. In this the cause is nothing and the conviction everything. One can die stubbornly for an indubitable error: that is the greatest thing there is."
George Soros ,"It's not whether you're right or wrong, but how much money you make when you're right and how much you lose when you're wrong."
Han Fei,"These are the ten faults: To practice petty loyalty and thereby betray a larger loyalty. To fix your eye on a petty gain and thereby lose a larger one. To behave in a base and willful manner and show no courtesy to the other feudal lords, thereby bringing about your own downfall. To give no ear to government affairs but long only for the sound of music, thereby plunging yourself into distress. To be greedy, perverse, and too fond of profit, thereby opening the way to the destruction of the state and your own demise. To become infatuated with women musicians and disregard state affairs, thereby inviting the disaster of national destruction. To leave the palace for distant travels, despising the remonstrances of your ministers, which leads to grave peril for yourself. To fail to heed your loyal ministers when you are at fault, insisting upon having your own way, which will in time destroy your good reputation and make you a laughing stock of others. To take no account of internal strength but rely solely upon your allies abroad, which places the state in grave danger of dismemberment. To ignore the demands of courtesy, though your state is small, and fail to learn from the remonstrances of your ministers, acts which lead to the downfall of your line."
Han Feizi,"May I ask you what was the constant principle by which the enlightened rulers of ancient times won or lost their states?” “I have heard it said,” replied You Yu, “that they always won their states by thrift and lost them through extravagance.”"
Han Fei,"Nowadays, when scholars counsel a ruler, they do not urge him to wield authority, which is the certain way to success, but instead insist that he must practice benevolence and righteousness before he can become a true king. This is, in effect, to demand that the ruler rise to the level of Confucius, and that all the ordinary people of the time be like Confucius’ disciples. Such a policy is bound to fail."
Mark Fisher,"What needs to be kept in mind is both that capitalism is a hyper-abstract impersonal structure and that it would be nothing without our co-operation. The most Gothic description of Capital is also the most accurate. Capital is an abstract parasite, an insatiable vampire and zombie-maker; but the living flesh it converts into dead labor is ours, and the zombies it makes are us."
Mark Fisher,"Bi-polar disorder is the mental illness proper to the ‘interior’ of capitalism. With its ceaseless boom and bust cycles, capitalism is itself fundamentally and irreducibly bi-polar, periodically lurching between hyped-up mania (the irrational exuberance of ‘bubble thinking’) and depressive come-down. (The term ‘economic depression’ is no accident, of course). To a degree unprecedented in any other social system, capitalism both feeds on and reproduces the moods of populations. Without delirium and confidence, capital could not function."
The Analects,"Zi You asked about the meaning of filial piety. Confucius said, “Nowadays filial piety means being able to feed your parents. But everyone does this for even horses and dogs. Without respect, what's the difference?”"
The Analects,"Ji Wen Zi contemplated something three times before acting upon it. When Confucius heard this, he said, “Twice is enough.”"
The Analects,"A man from Daxiang said: “How great Confucius is! His learning is so broad. However, he is not known for expertise in any particular skill.”

When Confucius heard this, he said to his disciples: “What shall I take up? Shall I take up charioteering? Shall I take up archery? I think I will take up charioteering!”"
The Analects,"There was a fire in the stables. When the Master returned from court, he asked: “Was anybody hurt?” He didn't ask about the horses."
Confucius,It's all over! I have not yet met someone who can see his own faults and correct them within himself.
The Analects,"The Master said: “You, have you heard the six phrases about the six distortions?” You answered that he hadn't. “Then stay a moment,” Confucius said, “and I will tell you.”

If you love being kind to others, but don't like to study, then your kindness will be distorted into simplicity.

If you love wisdom, but don't like to study, then your wisdom will be distorted into aimlessness.

If you love trustworthiness, but don't like to study, then your trust will be distorted into harm.

If you love candor, but don't like to study, your candor will be distorted into rudeness.

If you love boldness, but don't like to study, your boldness will be distorted into unruliness.

If you love persistence, but don't like to study, your persistence will be distorted into rashness."
The Analects,"Zi Gong asked, “Does the noble man also have things that he hates?”

Confucius said, “He does. He hates those who advertise the faults of others. He hates those who abide in lowliness and slander the great. He hates those who are bold without propriety. He hates those who are convinced of their own perfection, and closed off to anything else. How about you, what do you hate?”

Zi Gong said, “I hate those who take a little bit of clarity as wisdom; I hate those who take disobedience as courage; I hate those who take disclosing people's weak points to be straightforwardness.”"
